author,rank,feature,weight,abs_weight,direction
Stanislav Balík,17,xpos2_NNIXX-----A---1_C=-------------,0.16892299361369598,0.16892299361369598,positive
Stanislav Balík,18,morph_Gender_Masc,0.16824086484333692,0.16824086484333692,positive
Stanislav Balík,19,xpos2_Z:-------------_NNNXX-----A----,0.16816523420817653,0.16816523420817653,positive
Stanislav Balík,20,pos2_PRON_ADV,0.16631809566914452,0.16631809566914452,positive
Vladimír Kůrka,1,punct_;_per1k,0.23432421577527918,0.23432421577527918,positive
Vladimír Kůrka,2,"char3_ "" ",0.22967232525516995,0.22967232525516995,positive
Vladimír Kůrka,3,"punct_""_per1k",0.2237403754943328,0.2237403754943328,positive
Vladimír Kůrka,4,pos2_ADJ_PUNCT,0.2037284701022542,0.2037284701022542,positive
Vladimír Kůrka,5,pos2_PUNCT_PRON,0.19477921403932183,0.19477921403932183,positive
Vladimír Kůrka,6,fw_on,0.1868072276068284,0.1868072276068284,positive
Vladimír Kůrka,7,"char3_, j",0.1693178084753289,0.1693178084753289,positive
Vladimír Kůrka,8,pos2_PUNCT_VERB,0.1679952129194869,0.1679952129194869,positive
Vladimír Kůrka,9,xpos2_NNFS4-----A----_Z:-------------,0.16723672518836383,0.16723672518836383,positive
