doc_id,judge_rapporteur,formation,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,predicted_author,max_probability,prob_rapporteur,rapporteur_is_trained_author
2-149-94,Antonín Procházka,II. senát,0.002301259474369602,0.0004457571324305784,0.009495900104508305,0.03397942222347471,0.00032860965730764765,0.005787577107301112,0.004990890528458803,0.000759162942395042,0.00026772765535758747,0.0028181795882425437,0.008960305432586742,0.006030246042185745,0.004480241608963727,0.0010475194383721344,0.0015102158650858817,0.007373855697115542,1.305542068333715e-05,0.0007751313668658619,0.00020876309581219612,Ivana Janů,0.03397942222347471,,False
2-1529-08_1,Jiří Nykodým,II. senát,0.0011171850454397018,0.002978928306791989,0.0028031375944899037,0.0053162418880335315,0.009259055917236306,0.0011513387974708441,0.002914485439824628,0.0037715209841103414,0.01825830806077985,4.135042146248009e-05,0.0006051831072116681,0.00012118011606383057,0.0001962167574705816,0.0023860673683054868,0.003974325221556216,0.5748203185412238,0.004553001341418867,0.013576243361445915,1.6654071852649824e-05,Stanislav Balík,0.5748203185412238,0.002914485439824628,True
2-1658-11_1,Eliška Wagnerová,II. senát,0.0007422678702770342,0.010572798656875163,0.00021696076145305353,0.008984982966336584,0.00021582835183473235,0.00980053438662967,0.000854887523646194,0.004617988707250514,0.008581618275170178,0.0003996610090269747,0.010725661976381104,0.000258126391573933,0.000315019440456106,0.0002447487200661372,0.18725734059545981,0.006163022920242637,0.00014512887501372972,0.07467805867777236,0.00014201994604341926,Radovan Suchánek,0.18725734059545981,0.010572798656875163,True
2-173-95,Antonín Procházka,II. senát,0.005142896776111241,0.006381336189463717,0.03973262796561486,0.0864776758321847,0.00011619941297152367,0.012553885810359605,0.005465406902170802,0.02887987822692049,0.0005234380473256023,0.0004864081140069214,2.1915645334124893e-05,0.0007777585634297294,9.055831451656512e-05,0.0020857919113584245,0.0015111248152152794,0.0004214476730105102,0.00011127432676384525,0.0048393519211772165,4.019792761943869e-05,Ivana Janů,0.0864776758321847,,False
2-1842-12_1,Stanislav Balík,II. senát,0.0004649686942584811,0.0002635725402790863,0.0008204892686811265,0.0005113990242037653,0.0003021456921205872,0.0008766439209073418,0.0017931575526135468,0.005392833240323482,0.0016867551793671436,0.00016084367164553664,0.0021401013350368916,0.0007540997155653653,0.000419233918127681,0.004444900971993223,0.8404392332586569,0.20598074121451143,0.0014903487454294023,0.062308146370331094,9.371134086481695e-06,Radovan Suchánek,0.8404392332586569,0.20598074121451143,True
2-2000-16_1,Jiří Zemánek,II. senát,0.001721121389811578,0.0015106652120478524,0.0005661913913927613,0.0008455127923974931,0.0035352769584209836,0.0010105432716679508,0.0019452476554920604,0.0027677297910676823,0.001079326699834503,1.4984631768882064e-05,5.500025877886211e-05,0.00037077482954624266,0.0006978443060650902,0.007730988114257686,0.15940368812329353,0.032095249740415624,5.18286776903574e-05,0.0009247306001241328,0.00044880614616448725,Radovan Suchánek,0.15940368812329353,0.0027677297910676823,True
2-2108-14_1,Vojtěch Šimíček,II. senát,6.903823397670132e-05,0.006628974684580175,0.00016528975144827123,0.0026956531687192566,0.0017345985345980789,0.0008269690578012039,0.0038178657660614566,0.0013998507281699018,0.0013648720461031992,0.0015104260941950958,0.0029336001381119726,0.0009177703216770385,0.0021105421625447853,0.00025656858412870064,0.08516506160495012,0.004614400054588016,0.0010008773216763625,0.04728551479648378,0.0016191642740544545,Radovan Suchánek,0.08516506160495012,0.0016191642740544545,True
2-216-99,Antonín Procházka,II. senát,0.00020444857938767884,0.0003778111462880021,0.002746829360044764,0.7445204072164994,6.263772139901075e-05,7.875623162708522e-05,0.01477658416914186,0.0035339723950174183,0.00028818026921914716,1.2242740984646807e-05,5.070315603251033e-05,0.007617880138707826,0.005327890973704202,0.02114348260447447,0.0028286205545514356,0.01237435403497598,3.482013847070489e-05,0.0035223565011126188,0.00039958321040120217,Ivana Janů,0.7445204072164994,,False
2-2196-13_1,Vojtěch Šimíček,II. senát,0.001715475387609734,0.0011557557230291945,0.01433232757571177,0.018401749523715406,0.0002802358043834463,0.0008953576726301298,0.013767569467887297,4.874183860366201e-05,2.9250452825302618e-06,0.00013192919504247883,0.00014139785806360807,0.0007007170931657789,0.002077484918848193,0.0005465372817001982,0.6924898759288122,0.008378231430416527,0.002064899043717196,0.008349592528090437,0.11097706925925269,Radovan Suchánek,0.6924898759288122,0.11097706925925269,True
2-2326-07_1,Jiří Nykodým,II. senát,0.0019938565563434453,0.004607634962527428,0.001758438470696915,0.003305268175961147,0.0009617838201728788,0.009132842985280729,0.139863355133877,0.0025742283135895836,0.002129906351954304,0.00014206357991239095,0.006991059790850093,0.0016926280106210956,2.508062968205354e-05,0.002142547974387331,0.0001908850781272389,0.000760226367636031,4.7150531525510455e-05,0.006162816513786139,0.00014053689748349374,Jiří Nykodým,0.139863355133877,0.139863355133877,True
